original_path,current_path,filename,type,size,modification_date,sha256,associated_company,associated_role,associated_role_id,live_role_association,archive_association,duplicate_checksum_matches,unique_checksum,recommendation,reason,confidence_level,proposed_quarantine_location
/Users/trisha.lynch/Documents/career-catalyst/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_application_note.txt,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_application_note.txt,azira_director_chief_staff_business_operations_trisha_lynch_application_note.txt,.txt,493,2026-07-09T21:25:34.583540+00:00,a8b94e0bbd427692ea285f2a9dbb4780eaa9b32dab18dfc607add0cb660d8e8f,Azira,"Director, Chief of Staff & Business Operations",azira_director_chief_of_staff_business_operations,azira_director_chief_of_staff_business_operations,,"[""/Users/trisha.lynch/.codex/.chatgpt-projects/g-p-6a5d817ef0788191bbc5427a19234f4c/main_runtime_60cca23/exports/active/applied_followup/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_application_note.txt"", ""/Users/trisha.lynch/.codex/.chatgpt-projects/g-p-6a5d817ef0788191bbc5427a19234f4c/main_runtime_60cca23/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_application_note.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/canonical_exports/active/applied_followup/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_application_note.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/canonical_exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_application_note.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/production_runtime/exports/active/applied_followup/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_application_note.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/production_runtime/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_application_note.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/exports/active/applied_followup/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_application_note.txt""]",False,Preserve — historical and valid,Alternate package history was checksum-preserved under canonical legacy_versions and in quarantine,High,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_application_note.txt
/Users/trisha.lynch/Documents/career-catalyst/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_ats_resume.docx,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_ats_resume.docx,azira_director_chief_staff_business_operations_trisha_lynch_ats_resume.docx,.docx,28853,2026-07-09T22:23:34.392637+00:00,09881e8de5c6ab2189525a055968b9bd2440914ed14a5afbbf5a2fb36ba43ce7,Azira,"Director, Chief of Staff & Business Operations",azira_director_chief_of_staff_business_operations,azira_director_chief_of_staff_business_operations,,"[""/Users/trisha.lynch/.codex/.chatgpt-projects/g-p-6a5d817ef0788191bbc5427a19234f4c/main_runtime_60cca23/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_ats_resume.docx"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/canonical_exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_ats_resume.docx"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/production_runtime/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_ats_resume.docx""]",False,Preserve — historical and valid,Alternate package history was checksum-preserved under canonical legacy_versions and in quarantine,High,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_ats_resume.docx
/Users/trisha.lynch/Documents/career-catalyst/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_cover_letter.docx,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_cover_letter.docx,azira_director_chief_staff_business_operations_trisha_lynch_cover_letter.docx,.docx,27397,2026-07-09T22:20:30.252332+00:00,9937c93157af7653fb2a2a4f388ae1cf97101fef7412c6af1ca988d000acab9c,Azira,"Director, Chief of Staff & Business Operations",azira_director_chief_of_staff_business_operations,azira_director_chief_of_staff_business_operations,,"[""/Users/trisha.lynch/.codex/.chatgpt-projects/g-p-6a5d817ef0788191bbc5427a19234f4c/main_runtime_60cca23/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_cover_letter.docx"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/canonical_exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_cover_letter.docx"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/production_runtime/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_cover_letter.docx""]",False,Preserve — historical and valid,Alternate package history was checksum-preserved under canonical legacy_versions and in quarantine,High,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_cover_letter.docx
/Users/trisha.lynch/Documents/career-catalyst/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_cover_letter.txt,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_cover_letter.txt,azira_director_chief_staff_business_operations_trisha_lynch_cover_letter.txt,.txt,1986,2026-07-09T21:25:34.172794+00:00,eca87b8a17332947bb3f00dffa2b6aee521b5abf52ade544b0d41e73ca559095,Azira,"Director, Chief of Staff & Business Operations",azira_director_chief_of_staff_business_operations,azira_director_chief_of_staff_business_operations,,"[""/Users/trisha.lynch/.codex/.chatgpt-projects/g-p-6a5d817ef0788191bbc5427a19234f4c/main_runtime_60cca23/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_cover_letter.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/canonical_exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_cover_letter.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/production_runtime/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_cover_letter.txt""]",False,Preserve — historical and valid,Alternate package history was checksum-preserved under canonical legacy_versions and in quarantine,High,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_cover_letter.txt
/Users/trisha.lynch/Documents/career-catalyst/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_followup_strategy.txt,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_followup_strategy.txt,azira_director_chief_staff_business_operations_trisha_lynch_followup_strategy.txt,.txt,3865,2026-07-09T21:25:36.562893+00:00,4acdc0eeca5098cc72617a587e95f8061c51d2e74726e936c4b2a731535aeb40,Azira,"Director, Chief of Staff & Business Operations",azira_director_chief_of_staff_business_operations,azira_director_chief_of_staff_business_operations,,"[""/Users/trisha.lynch/.codex/.chatgpt-projects/g-p-6a5d817ef0788191bbc5427a19234f4c/main_runtime_60cca23/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_followup_strategy.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/canonical_exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_followup_strategy.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/production_runtime/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_followup_strategy.txt""]",False,Preserve — historical and valid,Alternate package history was checksum-preserved under canonical legacy_versions and in quarantine,High,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_followup_strategy.txt
/Users/trisha.lynch/Documents/career-catalyst/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_followup.txt,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_followup.txt,azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_followup.txt,.txt,691,2026-07-09T21:25:36.561853+00:00,7c715f1e6cbe4b37cb270817a34760f8e4bfd4ddb80a5908e7cffd10518244b3,Azira,"Director, Chief of Staff & Business Operations",azira_director_chief_of_staff_business_operations,azira_director_chief_of_staff_business_operations,,"[""/Users/trisha.lynch/.codex/.chatgpt-projects/g-p-6a5d817ef0788191bbc5427a19234f4c/main_runtime_60cca23/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_followup.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/canonical_exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_followup.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/production_runtime/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_followup.txt""]",False,Preserve — historical and valid,Alternate package history was checksum-preserved under canonical legacy_versions and in quarantine,High,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_followup.txt
/Users/trisha.lynch/Documents/career-catalyst/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_message.txt,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_message.txt,azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_message.txt,.txt,839,2026-07-09T21:25:34.455483+00:00,05de4bf0f4f5c81d60211532a7dd8206ca55055897891662afdef77b57d44a98,Azira,"Director, Chief of Staff & Business Operations",azira_director_chief_of_staff_business_operations,azira_director_chief_of_staff_business_operations,,"[""/Users/trisha.lynch/.codex/.chatgpt-projects/g-p-6a5d817ef0788191bbc5427a19234f4c/main_runtime_60cca23/exports/active/applied_followup/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_message.txt"", ""/Users/trisha.lynch/.codex/.chatgpt-projects/g-p-6a5d817ef0788191bbc5427a19234f4c/main_runtime_60cca23/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_message.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/canonical_exports/active/applied_followup/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_message.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/canonical_exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_message.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/production_runtime/exports/active/applied_followup/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_message.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/production_runtime/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_message.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/exports/active/applied_followup/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_message.txt""]",False,Preserve — historical and valid,Alternate package history was checksum-preserved under canonical legacy_versions and in quarantine,High,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_hiring_manager_message.txt
/Users/trisha.lynch/Documents/career-catalyst/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_interview_prep.txt,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_interview_prep.txt,azira_director_chief_staff_business_operations_trisha_lynch_interview_prep.txt,.txt,1309,2026-07-09T21:25:34.841580+00:00,403e84fda9aba5065c3259a52b2506f7ffd10caad1795f8dc45756edc6966f7d,Azira,"Director, Chief of Staff & Business Operations",azira_director_chief_of_staff_business_operations,azira_director_chief_of_staff_business_operations,,"[""/Users/trisha.lynch/.codex/.chatgpt-projects/g-p-6a5d817ef0788191bbc5427a19234f4c/main_runtime_60cca23/exports/active/applied_followup/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_interview_prep.txt"", ""/Users/trisha.lynch/.codex/.chatgpt-projects/g-p-6a5d817ef0788191bbc5427a19234f4c/main_runtime_60cca23/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_interview_prep.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/canonical_exports/active/applied_followup/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_interview_prep.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/canonical_exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_interview_prep.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/production_runtime/exports/active/applied_followup/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_interview_prep.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/production_runtime/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_interview_prep.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/exports/active/applied_followup/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_interview_prep.txt""]",False,Preserve — historical and valid,Alternate package history was checksum-preserved under canonical legacy_versions and in quarantine,High,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_interview_prep.txt
/Users/trisha.lynch/Documents/career-catalyst/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_package_summary.txt,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_package_summary.txt,azira_director_chief_staff_business_operations_trisha_lynch_package_summary.txt,.txt,658,2026-07-09T21:25:34.841862+00:00,f1881fab9850ea8ebe593835624990fc89622d52d8341853aa5430b916969fd1,Azira,"Director, Chief of Staff & Business Operations",azira_director_chief_of_staff_business_operations,azira_director_chief_of_staff_business_operations,,"[""/Users/trisha.lynch/.codex/.chatgpt-projects/g-p-6a5d817ef0788191bbc5427a19234f4c/main_runtime_60cca23/exports/active/applied_followup/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_package_summary.txt"", ""/Users/trisha.lynch/.codex/.chatgpt-projects/g-p-6a5d817ef0788191bbc5427a19234f4c/main_runtime_60cca23/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_package_summary.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/canonical_exports/active/applied_followup/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_package_summary.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/canonical_exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_package_summary.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/production_runtime/exports/active/applied_followup/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_package_summary.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/production_runtime/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_package_summary.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/exports/active/applied_followup/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_package_summary.txt""]",False,Preserve — historical and valid,Alternate package history was checksum-preserved under canonical legacy_versions and in quarantine,High,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_package_summary.txt
/Users/trisha.lynch/Documents/career-catalyst/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_recruiter_followup.txt,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_recruiter_followup.txt,azira_director_chief_staff_business_operations_trisha_lynch_recruiter_followup.txt,.txt,549,2026-07-09T21:25:36.561658+00:00,0f22845f87ec4f588d2a23291afa003783494745cb7588a3f4d33af65008cd72,Azira,"Director, Chief of Staff & Business Operations",azira_director_chief_of_staff_business_operations,azira_director_chief_of_staff_business_operations,,"[""/Users/trisha.lynch/.codex/.chatgpt-projects/g-p-6a5d817ef0788191bbc5427a19234f4c/main_runtime_60cca23/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_recruiter_followup.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/canonical_exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_recruiter_followup.txt"", ""/Users/trisha.lynch/Documents/career-catalyst/backups/pre_sprint32_deploy_20260731T181731Z/production_runtime/exports/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_recruiter_followup.txt""]",False,Preserve — historical and valid,Alternate package history was checksum-preserved under canonical legacy_versions and in quarantine,High,/Users/trisha.lynch/Documents/career-catalyst/cleanup_quarantine/20260731T215000Z/duplicate_packages/active/in_progress/azira_director_chief_of_staff_business_operations/azira_director_chief_staff_business_operations_trisha_lynch_recruiter_followup.txt
